[iter 0]:[0. 0. 0.],[0.0001 0.0001 0.0001],[0.328  0.2888 0.2534]
[iter 1]:[0. 0. 0.],[0.0516 0.0431 0.0521],[0.5561 0.4916 0.4195]
[iter 2]:[0.0131 0.0075 0.0138],[0.1061 0.0934 0.1007],[0.6245 0.5514 0.4652]
[iter 3]:[0.0262 0.0186 0.0258],[0.1583 0.1403 0.1416],[0.6432 0.5689 0.48  ]
[iter 4]:[0.0363 0.0284 0.0365],[0.2088 0.1838 0.1763],[0.6528 0.5782 0.4884]
[iter 5]:[0.0431 0.0351 0.0439],[0.2535 0.2209 0.203 ],[0.6614 0.5867 0.4963]
[iter 6]:[0.0483 0.0401 0.0489],[0.2917 0.2521 0.2245],[0.6698 0.595  0.504 ]
[iter 7]:[0.0518 0.0435 0.0524],[0.3199 0.2752 0.2403],[0.6766 0.6017 0.5104]
[iter 8]:[0.0548 0.0464 0.0552],[0.3427 0.2938 0.2529],[0.6821 0.6072 0.5155]
[iter 9]:[0.0572 0.0486 0.0574],[0.3612 0.3091 0.2634],[0.6868 0.6119 0.5199]
[iter 10]:[0.0591 0.0504 0.0592],[0.3758 0.3212 0.2718],[0.6906 0.6157 0.5235]
[iter 11]:[0.0609 0.0521 0.0608],[0.389  0.3321 0.2793],[0.6939 0.6191 0.5268]
[iter 12]:[0.0624 0.0534 0.0619],[0.3992 0.3409 0.2858],[0.6969 0.6221 0.5296]
[iter 13]:[0.0637 0.0546 0.0631],[0.4081 0.3484 0.2911],[0.6992 0.6244 0.5317]
[iter 14]:[0.0646 0.0554 0.0638],[0.4148 0.3542 0.2955],[0.7013 0.6266 0.5338]
[iter 15]:[0.0654 0.0562 0.0645],[0.4203 0.3588 0.2988],[0.7028 0.628  0.5352]
[iter 16]:[0.0659 0.0566 0.0649],[0.4243 0.3622 0.3013],[0.7041 0.6294 0.5365]
[iter 17]:[0.0665 0.0572 0.0655],[0.4284 0.3657 0.3038],[0.7052 0.6305 0.5375]
[iter 18]:[0.0669 0.0576 0.0658],[0.4316 0.3685 0.306 ],[0.7064 0.6317 0.5386]
[iter 19]:[0.0669 0.0576 0.0658],[0.4316 0.3685 0.306 ],[0.7064 0.6317 0.5386]
